period,year,quarter,county,Electric,Hydrogen,PHEV,total
2009-Q3,2009,3,San Mateo,5,0,0,5
2009-Q3,2009,3,Santa Barbara,3,0,0,3
2009-Q3,2009,3,Santa Clara,12,0,0,12
2009-Q3,2009,3,Santa Cruz,1,0,0,1
2009-Q3,2009,3,Sonoma,1,0,0,1
2009-Q3,2009,3,Ventura,17,0,0,17
2009-Q4,2009,4,Contra Costa,1,0,0,1
2009-Q4,2009,4,Los Angeles,60,0,0,60
2009-Q4,2009,4,Orange,1,0,0,1
2009-Q4,2009,4,San Diego,2,0,0,2
2009-Q4,2009,4,San Francisco,2,0,0,2
2009-Q4,2009,4,Santa Clara,3,0,0,3
2009-Q4,2009,4,Stanislaus,1,0,0,1
2010-Q1,2010,1,Los Angeles,5,0,29,34
2010-Q1,2010,1,Orange,2,0,0,2
2010-Q1,2010,1,Sacramento,1,0,0,1
2010-Q1,2010,1,San Mateo,1,0,0,1
2010-Q1,2010,1,Santa Clara,4,0,0,4
2010-Q1,2010,1,Santa Cruz,1,0,0,1
2010-Q2,2010,2,Alameda,1,0,0,1
2010-Q2,2010,2,Contra Costa,2,0,0,2
2010-Q2,2010,2,Humboldt,1,0,0,1
2010-Q2,2010,2,Los Angeles,5,1,122,128
2010-Q2,2010,2,Riverside,1,0,0,1
2010-Q2,2010,2,San Diego,2,0,0,2
2010-Q2,2010,2,San Francisco,1,0,0,1
2010-Q2,2010,2,San Mateo,2,0,0,2
2010-Q2,2010,2,Santa Clara,6,0,0,6
2010-Q2,2010,2,Ventura,1,0,0,1
2010-Q3,2010,3,Los Angeles,2,2,0,4
2010-Q3,2010,3,Marin,2,0,0,2
2010-Q3,2010,3,Riverside,1,0,0,1
2010-Q3,2010,3,San Francisco,2,0,0,2
2010-Q3,2010,3,San Mateo,1,0,0,1
2010-Q3,2010,3,Santa Barbara,1,0,0,1
2010-Q3,2010,3,Santa Clara,3,0,0,3
2010-Q3,2010,3,Ventura,1,0,0,1
2010-Q4,2010,4,Alameda,1,0,0,1
2010-Q4,2010,4,Contra Costa,2,0,0,2
2010-Q4,2010,4,Los Angeles,5,2,10,17
2010-Q4,2010,4,Monterey,1,0,0,1
2010-Q4,2010,4,Orange,1,1,0,2
2010-Q4,2010,4,San Mateo,2,0,0,2
2010-Q4,2010,4,Santa Clara,6,0,1,7
2011-Q1,2011,1,Alameda,2,0,13,15
2011-Q1,2011,1,Amador,0,0,1,1
2011-Q1,2011,1,Butte,1,0,1,2
2011-Q1,2011,1,Calaveras,1,0,0,1
2011-Q1,2011,1,Contra Costa,1,0,9,10
2011-Q1,2011,1,El Dorado,1,0,2,3
2011-Q1,2011,1,Fresno,0,0,8,8
2011-Q1,2011,1,Kern,2,0,2,4
2011-Q1,2011,1,Kings,0,0,2,2
2011-Q1,2011,1,Los Angeles,28,2,88,118
2011-Q1,2011,1,Marin,1,0,8,9
2011-Q1,2011,1,Monterey,0,0,8,8
2011-Q1,2011,1,Napa,1,0,3,4
2011-Q1,2011,1,Orange,12,1,34,47
2011-Q1,2011,1,Out Of State,4,0,4,8
2011-Q1,2011,1,Placer,4,0,3,7
2011-Q1,2011,1,Riverside,0,0,18,18
2011-Q1,2011,1,Sacramento,2,0,4,6
2011-Q1,2011,1,San Bernardino,0,0,12,12
2011-Q1,2011,1,San Diego,19,0,42,61
2011-Q1,2011,1,San Francisco,4,0,14,18
2011-Q1,2011,1,San Joaquin,1,0,3,4
2011-Q1,2011,1,San Luis Obispo,0,0,3,3
2011-Q1,2011,1,San Mateo,7,0,18,25
2011-Q1,2011,1,Santa Barbara,0,0,10,10
2011-Q1,2011,1,Santa Clara,13,0,33,46
2011-Q1,2011,1,Santa Cruz,0,0,2,2
2011-Q1,2011,1,Shasta,0,0,1,1
2011-Q1,2011,1,Solano,0,0,2,2
2011-Q1,2011,1,Sonoma,0,0,4,4
2011-Q1,2011,1,Stanislaus,0,0,1,1
2011-Q1,2011,1,Tulare,0,0,2,2
2011-Q1,2011,1,Ventura,2,0,14,16
2011-Q1,2011,1,Yolo,2,0,3,5
2011-Q1,2011,1,Yuba,0,0,1,1
2011-Q2,2011,2,Alameda,88,0,26,114
2011-Q2,2011,2,Butte,1,0,1,2
2011-Q2,2011,2,Calaveras,1,0,2,3
2011-Q2,2011,2,Contra Costa,33,0,11,44
2011-Q2,2011,2,El Dorado,4,0,4,8
2011-Q2,2011,2,Fresno,3,0,6,9
2011-Q2,2011,2,Humboldt,1,0,1,2
2011-Q2,2011,2,Imperial,0,0,1,1
2011-Q2,2011,2,Kern,2,0,7,9
2011-Q2,2011,2,Kings,1,0,0,1
2011-Q2,2011,2,Los Angeles,234,0,118,352
2011-Q2,2011,2,Madera,1,0,1,2
2011-Q2,2011,2,Marin,26,0,10,36
2011-Q2,2011,2,Mariposa,1,0,0,1
2011-Q2,2011,2,Mendocino,0,0,1,1
2011-Q2,2011,2,Merced,0,0,1,1
2011-Q2,2011,2,Monterey,2,0,3,5
2011-Q2,2011,2,Napa,4,0,3,7
2011-Q2,2011,2,Nevada,1,0,0,1
2011-Q2,2011,2,Orange,93,0,45,138
2011-Q2,2011,2,Out Of State,7,0,12,19
2011-Q2,2011,2,Placer,6,0,3,9
2011-Q2,2011,2,Riverside,11,0,13,24
2011-Q2,2011,2,Sacramento,16,0,9,25
2011-Q2,2011,2,San Benito,2,0,0,2
2011-Q2,2011,2,San Bernardino,11,0,15,26
2011-Q2,2011,2,San Diego,230,0,45,275
2011-Q2,2011,2,San Francisco,32,0,16,48
2011-Q2,2011,2,San Joaquin,3,0,1,4
2011-Q2,2011,2,San Luis Obispo,8,0,3,11
2011-Q2,2011,2,San Mateo,73,0,14,87
2011-Q2,2011,2,Santa Barbara,16,0,10,26
2011-Q2,2011,2,Santa Clara,201,0,48,249
2011-Q2,2011,2,Santa Cruz,18,0,1,19
2011-Q2,2011,2,Shasta,3,0,1,4
2011-Q2,2011,2,Solano,5,0,4,9
2011-Q2,2011,2,Sonoma,19,0,9,28
2011-Q2,2011,2,Stanislaus,1,0,4,5
2011-Q2,2011,2,Trinity,1,0,0,1
2011-Q2,2011,2,Tulare,4,0,1,5
2011-Q2,2011,2,Tuolumne,1,0,0,1
2011-Q2,2011,2,Ventura,20,0,17,37
2011-Q2,2011,2,Yolo,11,0,4,15
2011-Q2,2011,2,Yuba,1,0,0,1
2011-Q3,2011,3,Alameda,148,0,13,161
2011-Q3,2011,3,Amador,2,0,0,2
2011-Q3,2011,3,Butte,4,0,0,4
2011-Q3,2011,3,Contra Costa,66,0,3,69
2011-Q3,2011,3,El Dorado,6,0,3,9
2011-Q3,2011,3,Fresno,5,0,3,8
2011-Q3,2011,3,Humboldt,6,0,0,6
2011-Q3,2011,3,Kern,7,0,2,9
2011-Q3,2011,3,Lake,3,0,0,3
2011-Q3,2011,3,Los Angeles,437,0,68,505
2011-Q3,2011,3,Madera,2,0,1,3
2011-Q3,2011,3,Marin,29,0,2,31
2011-Q3,2011,3,Merced,1,0,0,1
2011-Q3,2011,3,Monterey,7,0,3,10
2011-Q3,2011,3,Napa,3,0,2,5
2011-Q3,2011,3,Nevada,2,0,1,3
2011-Q3,2011,3,Orange,132,0,33,165
2011-Q3,2011,3,Out Of State,52,0,8,60
2011-Q3,2011,3,Placer,8,0,3,11
2011-Q3,2011,3,Riverside,24,0,8,32
2011-Q3,2011,3,Sacramento,28,0,18,46
2011-Q3,2011,3,San Benito,1,0,0,1
2011-Q3,2011,3,San Bernardino,14,0,7,21
2011-Q3,2011,3,San Diego,310,0,20,330
2011-Q3,2011,3,San Francisco,44,0,12,56
2011-Q3,2011,3,San Joaquin,5,0,1,6
2011-Q3,2011,3,San Luis Obispo,14,0,1,15
2011-Q3,2011,3,San Mateo,109,0,7,116
2011-Q3,2011,3,Santa Barbara,19,0,8,27
2011-Q3,2011,3,Santa Clara,320,0,29,349
2011-Q3,2011,3,Santa Cruz,21,0,1,22
2011-Q3,2011,3,Shasta,2,0,0,2
2011-Q3,2011,3,Solano,8,0,1,9
2011-Q3,2011,3,Sonoma,28,0,4,32
2011-Q3,2011,3,Stanislaus,6,0,2,8
2011-Q3,2011,3,Tehama,1,0,1,2
2011-Q3,2011,3,Tulare,2,0,2,4
2011-Q3,2011,3,Tuolumne,0,0,1,1
2011-Q3,2011,3,Ventura,38,0,6,44
2011-Q3,2011,3,Yolo,7,0,1,8
2011-Q4,2011,4,Alameda,102,0,17,119
2011-Q4,2011,4,Amador,1,0,0,1
2011-Q4,2011,4,Butte,1,0,0,1
2011-Q4,2011,4,Contra Costa,51,0,13,64
2011-Q4,2011,4,Del Norte,0,0,1,1
2011-Q4,2011,4,El Dorado,6,0,0,6
2011-Q4,2011,4,Fresno,7,0,2,9
2011-Q4,2011,4,Kern,3,0,2,5
2011-Q4,2011,4,Lassen,0,0,1,1
2011-Q4,2011,4,Los Angeles,239,1,87,327
2011-Q4,2011,4,Madera,3,0,0,3
2011-Q4,2011,4,Marin,29,0,6,35
2011-Q4,2011,4,Mendocino,0,0,2,2
2011-Q4,2011,4,Merced,1,0,0,1
2011-Q4,2011,4,Monterey,3,0,3,6
2011-Q4,2011,4,Napa,8,0,2,10
2011-Q4,2011,4,Orange,79,1,35,115
2011-Q4,2011,4,Out Of State,22,0,14,36
2011-Q4,2011,4,Placer,9,0,4,13
2011-Q4,2011,4,Riverside,23,0,16,39
2011-Q4,2011,4,Sacramento,13,0,9,22
2011-Q4,2011,4,San Benito,1,0,0,1
2011-Q4,2011,4,San Bernardino,9,0,12,21
2011-Q4,2011,4,San Diego,215,0,35,250
2011-Q4,2011,4,San Francisco,32,0,7,39
2011-Q4,2011,4,San Joaquin,5,0,3,8
2011-Q4,2011,4,San Luis Obispo,4,0,1,5
2011-Q4,2011,4,San Mateo,67,0,15,82
2011-Q4,2011,4,Santa Barbara,13,0,6,19
2011-Q4,2011,4,Santa Clara,206,0,32,238
2011-Q4,2011,4,Santa Cruz,9,0,2,11
2011-Q4,2011,4,Shasta,1,0,0,1
2011-Q4,2011,4,Solano,3,0,3,6
2011-Q4,2011,4,Sonoma,19,0,9,28
2011-Q4,2011,4,Stanislaus,1,0,1,2
2011-Q4,2011,4,Ventura,26,0,15,41
2011-Q4,2011,4,Yolo,6,0,0,6
2012-Q1,2012,1,Alameda,57,0,29,86
2012-Q1,2012,1,Amador,1,0,0,1
2012-Q1,2012,1,Contra Costa,34,0,34,68
2012-Q1,2012,1,El Dorado,0,0,1,1
2012-Q1,2012,1,Fresno,5,0,1,6
2012-Q1,2012,1,Humboldt,1,0,0,1
2012-Q1,2012,1,Imperial,0,0,1,1
2012-Q1,2012,1,Kern,3,0,4,7
2012-Q1,2012,1,Los Angeles,167,0,227,394
2012-Q1,2012,1,Madera,0,0,2,2
2012-Q1,2012,1,Marin,13,0,7,20
2012-Q1,2012,1,Mendocino,2,0,1,3
2012-Q1,2012,1,Merced,1,0,1,2
2012-Q1,2012,1,Monterey,2,0,3,5
2012-Q1,2012,1,Napa,3,0,3,6
2012-Q1,2012,1,Nevada,1,0,2,3
2012-Q1,2012,1,Orange,49,0,155,204
2012-Q1,2012,1,Out Of State,1,0,21,22
2012-Q1,2012,1,Placer,3,0,11,14
2012-Q1,2012,1,Riverside,10,0,25,35
2012-Q1,2012,1,Sacramento,16,0,14,30
2012-Q1,2012,1,San Bernardino,11,0,21,32
2012-Q1,2012,1,San Diego,246,0,53,299
2012-Q1,2012,1,San Francisco,19,0,18,37
2012-Q1,2012,1,San Joaquin,5,0,6,11
2012-Q1,2012,1,San Luis Obispo,6,0,4,10
2012-Q1,2012,1,San Mateo,33,0,39,72
2012-Q1,2012,1,Santa Barbara,9,0,10,19
2012-Q1,2012,1,Santa Clara,133,0,71,204
2012-Q1,2012,1,Santa Cruz,4,0,2,6
2012-Q1,2012,1,Shasta,2,0,1,3
2012-Q1,2012,1,Siskiyou,0,0,1,1
2012-Q1,2012,1,Solano,3,0,6,9
2012-Q1,2012,1,Sonoma,9,0,7,16
2012-Q1,2012,1,Stanislaus,0,0,2,2
2012-Q1,2012,1,Sutter,0,0,1,1
2012-Q1,2012,1,Tehama,1,0,0,1
2012-Q1,2012,1,Trinity,1,0,0,1
2012-Q1,2012,1,Tulare,3,0,2,5
2012-Q1,2012,1,Ventura,11,0,21,32
2012-Q1,2012,1,Yolo,3,0,5,8
2012-Q2,2012,2,Alameda,35,0,222,257
2012-Q2,2012,2,Amador,0,0,1,1
2012-Q2,2012,2,Butte,1,0,2,3
2012-Q2,2012,2,Calaveras,0,0,1,1
2012-Q2,2012,2,Contra Costa,13,0,127,140
2012-Q2,2012,2,El Dorado,2,0,18,20
2012-Q2,2012,2,Fresno,1,0,7,8
2012-Q2,2012,2,Humboldt,1,0,2,3
2012-Q2,2012,2,Imperial,1,0,2,3
2012-Q2,2012,2,Inyo,0,0,1,1
2012-Q2,2012,2,Kern,0,0,9,9
2012-Q2,2012,2,Lake,1,0,3,4
2012-Q2,2012,2,Los Angeles,90,0,1052,1142
2012-Q2,2012,2,Marin,10,0,52,62
2012-Q2,2012,2,Mendocino,0,0,5,5
2012-Q2,2012,2,Merced,0,0,3,3
2012-Q2,2012,2,Monterey,0,0,16,16
2012-Q2,2012,2,Napa,1,0,16,17
2012-Q2,2012,2,Nevada,0,0,4,4
2012-Q2,2012,2,Orange,27,0,648,675
2012-Q2,2012,2,Out Of State,6,0,6,12
2012-Q2,2012,2,Placer,1,0,12,13
2012-Q2,2012,2,Plumas,0,0,1,1
2012-Q2,2012,2,Riverside,9,0,101,110
2012-Q2,2012,2,Sacramento,9,0,35,44
2012-Q2,2012,2,San Benito,0,0,6,6
2012-Q2,2012,2,San Bernardino,13,0,78,91
2012-Q2,2012,2,San Diego,52,0,177,229
2012-Q2,2012,2,San Francisco,10,0,68,78
2012-Q2,2012,2,San Joaquin,1,0,10,11
2012-Q2,2012,2,San Luis Obispo,2,0,7,9
2012-Q2,2012,2,San Mateo,26,0,114,140
2012-Q2,2012,2,Santa Barbara,1,0,20,21
2012-Q2,2012,2,Santa Clara,90,0,428,518
2012-Q2,2012,2,Santa Cruz,2,0,24,26
2012-Q2,2012,2,Shasta,3,0,1,4
2012-Q2,2012,2,Siskiyou,0,0,1,1
2012-Q2,2012,2,Solano,0,0,24,24
2012-Q2,2012,2,Sonoma,9,0,34,43
2012-Q2,2012,2,Stanislaus,1,0,3,4
2012-Q2,2012,2,Sutter,0,0,2,2
2012-Q2,2012,2,Trinity,0,0,1,1
2012-Q2,2012,2,Tulare,3,0,5,8
2012-Q2,2012,2,Ventura,6,0,88,94
2012-Q2,2012,2,Yolo,2,0,14,16
2012-Q2,2012,2,Yuba,2,0,0,2
2012-Q3,2012,3,Alameda,49,0,254,303
2012-Q3,2012,3,Butte,2,0,6,8
2012-Q3,2012,3,Calaveras,1,0,0,1
2012-Q3,2012,3,Contra Costa,32,0,142,174
2012-Q3,2012,3,El Dorado,4,0,8,12
2012-Q3,2012,3,Fresno,3,0,11,14
2012-Q3,2012,3,Humboldt,3,0,1,4
2012-Q3,2012,3,Inyo,0,0,1,1
2012-Q3,2012,3,Kern,1,0,11,12
2012-Q3,2012,3,Los Angeles,111,0,1037,1148
2012-Q3,2012,3,Madera,2,0,0,2
2012-Q3,2012,3,Marin,11,0,67,78
2012-Q3,2012,3,Mendocino,1,0,2,3
2012-Q3,2012,3,Merced,0,0,3,3
2012-Q3,2012,3,Monterey,3,0,12,15
2012-Q3,2012,3,Napa,1,0,15,16
2012-Q3,2012,3,Nevada,2,0,5,7
2012-Q3,2012,3,Orange,60,0,550,610
2012-Q3,2012,3,Out Of State,17,0,18,35
2012-Q3,2012,3,Placer,5,0,24,29
2012-Q3,2012,3,Riverside,11,0,125,136
2012-Q3,2012,3,Sacramento,11,0,58,69
2012-Q3,2012,3,San Benito,0,0,3,3
2012-Q3,2012,3,San Bernardino,13,0,103,116
2012-Q3,2012,3,San Diego,110,0,200,310
2012-Q3,2012,3,San Francisco,23,0,64,87
2012-Q3,2012,3,San Joaquin,7,0,15,22
2012-Q3,2012,3,San Luis Obispo,6,0,7,13
2012-Q3,2012,3,San Mateo,39,0,108,147
2012-Q3,2012,3,Santa Barbara,6,0,21,27
2012-Q3,2012,3,Santa Clara,107,0,477,584
2012-Q3,2012,3,Santa Cruz,8,0,35,43
2012-Q3,2012,3,Shasta,2,0,1,3
2012-Q3,2012,3,Solano,2,0,34,36
2012-Q3,2012,3,Sonoma,12,0,52,64
2012-Q3,2012,3,Stanislaus,0,0,11,11
2012-Q3,2012,3,Tehama,0,0,1,1
2012-Q3,2012,3,Tulare,0,0,2,2
2012-Q3,2012,3,Tuolumne,0,0,1,1
2012-Q3,2012,3,Ventura,12,0,109,121
2012-Q3,2012,3,Yolo,3,0,11,14
2012-Q3,2012,3,Yuba,1,0,1,2
2012-Q4,2012,4,Alameda,186,0,261,447
2012-Q4,2012,4,Amador,0,0,1,1
2012-Q4,2012,4,Butte,3,0,3,6
2012-Q4,2012,4,Calaveras,1,0,2,3
2012-Q4,2012,4,Contra Costa,82,0,142,224
2012-Q4,2012,4,Del Norte,0,0,2,2
2012-Q4,2012,4,El Dorado,10,0,21,31
2012-Q4,2012,4,Fresno,9,0,16,25
2012-Q4,2012,4,Humboldt,1,0,4,5
2012-Q4,2012,4,Imperial,0,0,2,2
2012-Q4,2012,4,Inyo,0,0,1,1
2012-Q4,2012,4,Kern,15,0,10,25
2012-Q4,2012,4,Kings,1,0,1,2
2012-Q4,2012,4,Lake,1,0,2,3
2012-Q4,2012,4,Los Angeles,502,2,1420,1924
2012-Q4,2012,4,Madera,2,0,2,4
2012-Q4,2012,4,Marin,44,0,64,108
2012-Q4,2012,4,Mendocino,1,0,1,2
2012-Q4,2012,4,Merced,0,0,1,1
2012-Q4,2012,4,Monterey,8,0,26,34
2012-Q4,2012,4,Napa,5,0,15,20
2012-Q4,2012,4,Nevada,4,0,3,7
2012-Q4,2012,4,Orange,229,0,635,864
2012-Q4,2012,4,Out Of State,5,0,18,23
2012-Q4,2012,4,Placer,26,0,39,65
2012-Q4,2012,4,Riverside,37,0,148,185
2012-Q4,2012,4,Sacramento,74,0,46,120
2012-Q4,2012,4,San Benito,1,0,6,7
2012-Q4,2012,4,San Bernardino,34,0,113,147
2012-Q4,2012,4,San Diego,176,0,261,437
2012-Q4,2012,4,San Francisco,54,0,89,143
2012-Q4,2012,4,San Joaquin,5,0,13,18
2012-Q4,2012,4,San Luis Obispo,16,0,14,30
2012-Q4,2012,4,San Mateo,151,0,119,270
2012-Q4,2012,4,Santa Barbara,19,0,16,35
2012-Q4,2012,4,Santa Clara,427,0,508,935
2012-Q4,2012,4,Santa Cruz,29,0,39,68
2012-Q4,2012,4,Shasta,4,0,4,8
2012-Q4,2012,4,Siskiyou,1,0,1,2
2012-Q4,2012,4,Solano,9,0,38,47
2012-Q4,2012,4,Sonoma,43,0,49,92
2012-Q4,2012,4,Stanislaus,4,0,6,10
2012-Q4,2012,4,Sutter,0,0,2,2
2012-Q4,2012,4,Tehama,1,0,1,2
2012-Q4,2012,4,Tulare,7,0,4,11
2012-Q4,2012,4,Tuolumne,1,0,0,1
2012-Q4,2012,4,Ventura,29,0,102,131
2012-Q4,2012,4,Yolo,13,0,17,30
2012-Q4,2012,4,Yuba,1,0,2,3
2013-Q1,2013,1,Alameda,306,0,221,527
2013-Q1,2013,1,Alpine,0,0,1,1
2013-Q1,2013,1,Amador,2,0,1,3
2013-Q1,2013,1,Butte,6,0,2,8
2013-Q1,2013,1,Calaveras,4,0,1,5
2013-Q1,2013,1,Contra Costa,130,0,143,273
2013-Q1,2013,1,El Dorado,21,0,16,37
2013-Q1,2013,1,Fresno,8,0,16,24
2013-Q1,2013,1,Glenn,0,0,2,2
2013-Q1,2013,1,Humboldt,4,0,6,10
2013-Q1,2013,1,Imperial,1,0,1,2
2013-Q1,2013,1,Inyo,0,0,1,1
2013-Q1,2013,1,Kern,14,0,11,25
2013-Q1,2013,1,Kings,0,0,1,1
2013-Q1,2013,1,Lake,0,0,6,6
2013-Q1,2013,1,Los Angeles,938,0,915,1853
2013-Q1,2013,1,Madera,1,0,2,3
2013-Q1,2013,1,Marin,86,0,54,140
2013-Q1,2013,1,Mariposa,1,0,1,2
2013-Q1,2013,1,Mendocino,1,0,0,1
2013-Q1,2013,1,Merced,2,0,0,2
2013-Q1,2013,1,Monterey,18,0,7,25
2013-Q1,2013,1,Napa,19,0,15,34
2013-Q1,2013,1,Nevada,0,0,2,2
2013-Q1,2013,1,Orange,356,0,446,802
2013-Q1,2013,1,Out Of State,15,0,28,43
2013-Q1,2013,1,Placer,12,0,25,37
2013-Q1,2013,1,Plumas,1,0,0,1
2013-Q1,2013,1,Riverside,50,0,88,138
2013-Q1,2013,1,Sacramento,75,0,50,125
2013-Q1,2013,1,San Benito,2,0,4,6
2013-Q1,2013,1,San Bernardino,38,0,69,107
2013-Q1,2013,1,San Diego,285,0,204,489
2013-Q1,2013,1,San Francisco,107,0,51,158
2013-Q1,2013,1,San Joaquin,12,0,12,24
2013-Q1,2013,1,San Luis Obispo,22,0,8,30
2013-Q1,2013,1,San Mateo,279,0,114,393
2013-Q1,2013,1,Santa Barbara,37,0,15,52
2013-Q1,2013,1,Santa Clara,770,0,373,1143
2013-Q1,2013,1,Santa Cruz,59,0,36,95
2013-Q1,2013,1,Shasta,1,0,0,1
2013-Q1,2013,1,Solano,17,0,27,44
2013-Q1,2013,1,Sonoma,60,0,42,102
2013-Q1,2013,1,Stanislaus,1,0,8,9
2013-Q1,2013,1,Tulare,1,0,0,1
2013-Q1,2013,1,Ventura,67,0,87,154
2013-Q1,2013,1,Yolo,14,0,14,28
2013-Q1,2013,1,Yuba,0,0,1,1
2013-Q2,2013,2,Alameda,419,0,191,610
2013-Q2,2013,2,Amador,0,0,1,1
2013-Q2,2013,2,Butte,5,0,6,11
2013-Q2,2013,2,Calaveras,3,0,1,4
2013-Q2,2013,2,Contra Costa,165,0,146,311
2013-Q2,2013,2,Del Norte,1,0,2,3
2013-Q2,2013,2,El Dorado,9,0,14,23
2013-Q2,2013,2,Fresno,24,0,8,32
2013-Q2,2013,2,Humboldt,1,0,5,6
2013-Q2,2013,2,Imperial,2,0,2,4
2013-Q2,2013,2,Inyo,0,0,1,1
2013-Q2,2013,2,Kern,13,0,12,25
2013-Q2,2013,2,Lake,1,0,1,2
2013-Q2,2013,2,Los Angeles,1105,1,1052,2158
2013-Q2,2013,2,Madera,1,0,1,2
2013-Q2,2013,2,Marin,112,0,51,163
2013-Q2,2013,2,Mendocino,3,0,3,6
2013-Q2,2013,2,Merced,1,0,4,5
2013-Q2,2013,2,Monterey,16,0,7,23
2013-Q2,2013,2,Napa,16,0,11,27
2013-Q2,2013,2,Nevada,4,0,3,7
2013-Q2,2013,2,Orange,512,0,469,981
2013-Q2,2013,2,Out Of State,40,0,13,53
2013-Q2,2013,2,Placer,35,0,25,60
2013-Q2,2013,2,Riverside,85,0,104,189
2013-Q2,2013,2,Sacramento,97,0,48,145
2013-Q2,2013,2,San Benito,2,0,4,6
2013-Q2,2013,2,San Bernardino,63,0,100,163
2013-Q2,2013,2,San Diego,376,0,225,601
2013-Q2,2013,2,San Francisco,120,0,78,198
2013-Q2,2013,2,San Joaquin,22,0,17,39
2013-Q2,2013,2,San Luis Obispo,24,0,10,34
2013-Q2,2013,2,San Mateo,352,0,102,454
2013-Q2,2013,2,Santa Barbara,34,0,18,52
2013-Q2,2013,2,Santa Clara,973,0,439,1412
2013-Q2,2013,2,Santa Cruz,58,0,30,88
2013-Q2,2013,2,Shasta,4,0,4,8
2013-Q2,2013,2,Solano,14,0,28,42
2013-Q2,2013,2,Sonoma,71,0,42,113
2013-Q2,2013,2,Stanislaus,6,0,9,15
2013-Q2,2013,2,Sutter,1,0,2,3
2013-Q2,2013,2,Tehama,1,0,0,1
2013-Q2,2013,2,Tulare,4,0,2,6
2013-Q2,2013,2,Ventura,76,0,90,166
2013-Q2,2013,2,Yolo,33,0,11,44
2013-Q2,2013,2,Yuba,1,0,1,2
2013-Q3,2013,3,Alameda,407,0,273,680
2013-Q3,2013,3,Alpine,0,0,1,1
2013-Q3,2013,3,Amador,1,0,0,1
2013-Q3,2013,3,Butte,4,0,8,12
2013-Q3,2013,3,Calaveras,2,0,3,5
